
                  X              E33_3D5N5F        E33_3D10N5F        E33_3D15N5F        E33_3D20N5F        E33_3D25N5F        E33_3D30N5F        E33_3D35N5F        E33_3D40N5F   
              555.               -10.1304E-06       -20.2608E-06       -30.3913E-06       -40.5217E-06       -50.6521E-06       -60.7825E-06       -70.9129E-06       -81.0434E-06 
              555.588             -9.83357E-06      -19.6671E-06       -29.5007E-06       -39.3343E-06       -49.1679E-06       -59.0014E-06       -68.835E-06        -78.6686E-06 
              556.176             -9.53719E-06      -19.0744E-06       -28.6116E-06       -38.1488E-06       -47.686E-06        -57.2232E-06       -66.7604E-06       -76.2975E-06 
              556.765             -9.24044E-06      -18.4809E-06       -27.7213E-06       -36.9618E-06       -46.2022E-06       -55.4427E-06       -64.6831E-06       -73.9235E-06 
              557.353             -8.94429E-06      -17.8886E-06       -26.8329E-06       -35.7772E-06       -44.7215E-06       -53.6657E-06       -62.61E-06         -71.5543E-06 
              557.941             -8.64764E-06      -17.2953E-06       -25.9429E-06       -34.5905E-06       -43.2382E-06       -51.8858E-06       -60.5335E-06       -69.1811E-06 
              558.529             -8.35177E-06      -16.7035E-06       -25.0553E-06       -33.4071E-06       -41.7588E-06       -50.1106E-06       -58.4624E-06       -66.8141E-06 
              559.118             -8.05518E-06      -16.1104E-06       -24.1655E-06       -32.2207E-06       -40.2759E-06       -48.3311E-06       -56.3863E-06       -64.4415E-06 
              559.706             -7.75964E-06      -15.5193E-06       -23.2789E-06       -31.0386E-06       -38.7982E-06       -46.5578E-06       -54.3175E-06       -62.0771E-06 
              560.294             -7.46312E-06      -14.9262E-06       -22.3894E-06       -29.8525E-06       -37.3156E-06       -44.7787E-06       -52.2418E-06       -59.705E-06  
              560.882             -7.16793E-06      -14.3359E-06       -21.5038E-06       -28.6717E-06       -35.8397E-06       -43.0076E-06       -50.1755E-06       -57.3435E-06 
              561.471             -6.87143E-06      -13.7429E-06       -20.6143E-06       -27.4857E-06       -34.3572E-06       -41.2286E-06       -48.1E-06          -54.9714E-06 
              562.059             -6.57658E-06      -13.1532E-06       -19.7297E-06       -26.3063E-06       -32.8829E-06       -39.4595E-06       -46.0361E-06       -52.6127E-06 
              562.647             -6.28007E-06      -12.5601E-06       -18.8402E-06       -25.1203E-06       -31.4004E-06       -37.6804E-06       -43.9605E-06       -50.2406E-06 
              563.235             -5.98549E-06      -11.971E-06        -17.9565E-06       -23.942E-06        -29.9275E-06       -35.9129E-06       -41.8984E-06       -47.8839E-06 
              563.824             -5.68893E-06      -11.3779E-06       -17.0668E-06       -22.7557E-06       -28.4447E-06       -34.1336E-06       -39.8225E-06       -45.5115E-06 
              564.412             -5.3944E-06       -10.7888E-06       -16.1832E-06       -21.5776E-06       -26.972E-06        -32.3664E-06       -37.7608E-06       -43.1552E-06 
              565.                -5.09778E-06      -10.1956E-06       -15.2933E-06       -20.3911E-06       -25.4889E-06       -30.5867E-06       -35.6844E-06       -40.7822E-06 
              565.588             -4.80281E-06       -9.60562E-06      -14.4084E-06       -19.2112E-06       -24.0141E-06       -28.8169E-06       -33.6197E-06       -38.4225E-06 
              566.176             -4.50614E-06       -9.01227E-06      -13.5184E-06       -18.0245E-06       -22.5307E-06       -27.0368E-06       -31.543E-06        -36.0491E-06 
              566.765             -4.20991E-06       -8.41981E-06      -12.6297E-06       -16.8396E-06       -21.0495E-06       -25.2594E-06       -29.4693E-06       -33.6792E-06 
              567.353             -3.91316E-06       -7.82632E-06      -11.7395E-06       -15.6526E-06       -19.5658E-06       -23.479E-06        -27.3921E-06       -31.3053E-06 
              567.941             -3.61432E-06       -7.22864E-06      -10.843E-06        -14.4573E-06       -18.0716E-06       -21.6859E-06       -25.3002E-06       -28.9146E-06 
              568.529             -3.31748E-06       -6.63495E-06       -9.95243E-06      -13.2699E-06       -16.5874E-06       -19.9049E-06       -23.2223E-06       -26.5398E-06 
              569.118             -3.01414E-06       -6.02828E-06       -9.04242E-06      -12.0566E-06       -15.0707E-06       -18.0848E-06       -21.099E-06        -24.1131E-06 
              569.706             -2.71729E-06       -5.43459E-06       -8.15188E-06      -10.8692E-06       -13.5865E-06       -16.3038E-06       -19.0211E-06       -21.7384E-06 
              570.294             -2.40743E-06       -4.81486E-06       -7.22229E-06       -9.62971E-06      -12.0371E-06       -14.4446E-06       -16.852E-06        -19.2594E-06 
              570.882             -2.11117E-06       -4.22234E-06       -6.33351E-06       -8.44469E-06      -10.5559E-06       -12.667E-06        -14.7782E-06       -16.8894E-06 
              571.471             -1.79191E-06       -3.58382E-06       -5.37573E-06       -7.16764E-06       -8.95955E-06      -10.7515E-06       -12.5434E-06       -14.3353E-06 
              572.059             -1.49269E-06       -2.98537E-06       -4.47806E-06       -5.97074E-06       -7.46343E-06       -8.95611E-06      -10.4488E-06       -11.9415E-06 
              572.647             -1.15257E-06       -2.30513E-06       -3.4577E-06        -4.61026E-06       -5.76283E-06       -6.91539E-06       -8.06796E-06       -9.22052E-06
              573.235           -807.931E-09         -1.61586E-06       -2.42379E-06       -3.23173E-06       -4.03966E-06       -4.84759E-06       -5.65552E-06       -6.46345E-06
              573.824           -504.705E-09         -1.00941E-06       -1.51412E-06       -2.01882E-06       -2.52353E-06       -3.02823E-06       -3.53294E-06       -4.03764E-06
              574.412           -244.135E-09       -488.27E-09        -732.406E-09       -976.541E-09         -1.22068E-06       -1.46481E-06       -1.70895E-06       -1.95308E-06
              575.              -162.745E-09       -325.49E-09        -488.234E-09       -650.979E-09       -813.724E-09       -976.469E-09         -1.13921E-06       -1.30196E-06




