X	E33_3D40N1F	E33_3D40N2F	E33_3D40N3F	E33_3D40N4F	E33_3D40N5F
112.989	NoValue	1.61E-04	NoValue	1.93E-04	NoValue
113.283	NoValue	NoValue	NoValue	NoValue	2.02E-04
113.478	NoValue	NoValue	1.82E-04	NoValue	NoValue
113.723	NoValue	NoValue	NoValue	1.94E-04	NoValue
113.87	NoValue	NoValue	NoValue	NoValue	2.03E-04
114.457	1.26E-08	1.62E-04	1.83E-04	1.96E-04	2.04E-04
115.043	NoValue	NoValue	NoValue	NoValue	2.05E-04
115.19	NoValue	NoValue	NoValue	1.97E-04	NoValue
115.435	NoValue	NoValue	1.84E-04	NoValue	NoValue
115.63	NoValue	NoValue	NoValue	NoValue	2.06E-04
115.924	NoValue	1.64E-04	NoValue	1.98E-04	NoValue
116.217	NoValue	NoValue	NoValue	NoValue	2.06E-04
116.413	NoValue	NoValue	1.86E-04	NoValue	NoValue
116.658	NoValue	NoValue	NoValue	1.99E-04	NoValue
116.804	NoValue	NoValue	NoValue	NoValue	2.07E-04
117.391	-8.47E-09	1.66E-04	1.87E-04	2.00E-04	2.08E-04
117.978	NoValue	NoValue	NoValue	NoValue	2.09E-04
118.125	NoValue	NoValue	NoValue	2.01E-04	NoValue
118.37	NoValue	NoValue	1.88E-04	NoValue	NoValue
118.565	NoValue	NoValue	NoValue	NoValue	2.10E-04
118.859	NoValue	1.67E-04	NoValue	2.02E-04	NoValue
119.152	NoValue	NoValue	NoValue	NoValue	2.10E-04
119.348	NoValue	NoValue	1.89E-04	NoValue	NoValue
119.592	NoValue	NoValue	NoValue	2.02E-04	NoValue
119.739	NoValue	NoValue	NoValue	NoValue	2.11E-04
120.326	2.02E-08	1.69E-04	1.91E-04	2.03E-04	2.12E-04
120.913	NoValue	NoValue	NoValue	NoValue	2.13E-04
121.06	NoValue	NoValue	NoValue	2.04E-04	NoValue
121.304	NoValue	NoValue	1.91E-04	NoValue	NoValue
121.5	NoValue	NoValue	NoValue	NoValue	2.13E-04
121.793	NoValue	1.70E-04	NoValue	2.05E-04	NoValue
122.087	NoValue	NoValue	NoValue	NoValue	2.14E-04
122.283	NoValue	NoValue	1.93E-04	NoValue	NoValue
122.527	NoValue	NoValue	NoValue	2.06E-04	NoValue
122.674	NoValue	NoValue	NoValue	NoValue	2.14E-04
